company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
NESHAMINY BEVERAGE,2, 'Tue',1, 'Fri',,
RESTURANT 51,1, 'Tue',,,,
MCLAUGHLIN'S BEVERAGE,4, 'Wed',2, 'Tue',1, 'Thu'
Iron Abbey ,18, 'Mon',13, 'Fri',1, 'Wed'
PINOCCHIOS PIZZA,29, 'Fri',15, 'Mon',12, 'Tue'
WHITE MANOR COUNTRY CLUB,5, 'Mon',4, 'Fri',3, 'Wed'
Starr Restautant Catering Group(%%%%),1, 'Mon',,,,
Ugly Oyster,1, 'Thu',,,,
Diablo Smokehouse,1, 'Tue',,,,
ANTHONY'S COAL FIRED (HORSHAM) 9999,2, 'Thu',,,,
WEGMANS ALLENTOWN,46, 'Mon',7, 'Wed',6, 'Tue'
CJ's Doghouse,9, 'Wed',4, 'Fri',1, 'Tue'
Monk's Cafe,1, 'Fri',,,,
Cannstatter V V,4, 'Sat',1, 'Sun',,
Bound Beverage,32, 'Mon',25, 'Fri',18, 'Wed'
Percy Street BBQ,30, 'Mon',5, 'Tue',2, 'Fri'
PORTER HOUSE,2, 'Mon',1, 'Wed',,
ACME DEVON,11, 'Sun',8, 'Sat',3, 'Thu'
Tio Flores,2, 'Mon',1, 'Tue',,
Lima Beverage,2, 'Tue',1, 'Wed',,
Federal Deli,3, 'Fri',2, 'Mon',1, 'Wed'
Craft Manayunk,3, 'Mon',2, 'Wed',,
Hatboro Beverage,5, 'Fri',4, 'Tue',3, 'Wed'
Tony's Place,5, 'Wed',4, 'Fri',1, 'Tue'
TONIC DESIGN,1, 'Mon',,,,
Tinto,1, 'Sat',,,,
Whetstone Tavern,2, 'Mon',1, 'Tue',,
HERITAGE,2, 'Wed',1, 'Sun',,
Mac's Beverage,8, 'Mon',3, 'Tue',1, 'Wed'
Friends Of Washington's Crossing Beer Fest,1, 'Sun',,,,
CIVERA'S,2, 'Tue',1, 'Mon',,
BEER TOWN,1, 'Wed',,,,
From The Boot,4, 'Wed',2, 'Tue',,
Beer Peddlers,3, 'Wed',2, 'Tue',1, 'Fri'
Bridget Foy's,1, 'Thu',,,,
Bourbon & Branch,2, 'Tue',,,,
South Mountain Bev ALLENTOWN,3, 'Tue',2, 'Wed',,
Valley Beverage,6, 'Mon',5, 'Tue',4, 'Wed'
Deon Beverage BRISTOL,2, 'Wed',,,,
Flourtown Beverage,5, 'Wed',4, 'Mon',2, 'Tue'
Yardly Inn,1, 'Sat',,,,
Brewers Outlet - Philadelphia ,24, 'Fri',13, 'Thu',7, 'Wed'
MAIDEN CREEK DISTRIB,3, 'Fri',2, 'Thu',1, 'Wed'
Ridge Pike Beverage,4, 'Mon',3, 'Fri',1, 'Wed'
Railroad Street Bar and Grill,6, 'Wed',5, 'Thu',4, 'Fri'
Lorraine,2, 'Wed',,,,
Candlewick Tavern,3, 'Mon',1, 'Wed',,
RINGERS ROOST,1, 'Tue',,,,
Thorndale Beverage,2, 'Mon',,,,
Trappe Beer & Soda,9, 'Mon',2, 'Sat',1, 'Tue'
West Reading Tavern,7, 'Tue',4, 'Mon',3, 'Wed'
SUNSHINE BEVERAGE,2, 'Wed',,,,
The Beer Shoppe,45, 'Mon',12, 'Fri',8, 'Sat'
Brew Master ,3, 'Sat',2, 'Fri',,
Fingers Wings and Other Things,18, 'Fri',12, 'Mon',3, 'Tue'
Torre,2, 'Tue',,,,
GIANT DOYLESTOWN,1, 'Wed',,,,
Sixty-One Brew-Thru,8, 'Thu',7, 'Fri',4, 'Wed'
Pappous Pizza Pub,1, 'Wed',,,,
French Quarter Bistro,5, 'Mon',2, 'Tue',1, 'Wed'
COOPERS SEAFOOD PITTSTON,2, 'Thu',,,,
Strangelove's,1, 'Sat',,,,
North Wales Beer Dist,10, 'Mon',3, 'Tue',2, 'Sat'
WEIS HUNTINGDON VALLEY,10, 'Fri',5, 'Sat',4, 'Thu'
ACME SOUTH PHILLY,9, 'Tue',4, 'Wed',2, 'Sat'
Hulmeville Inn ,5, 'Mon',2, 'Wed',,
Pizzeria Vetri CHANCELLOR,2, 'Thu',1, 'Wed',,
Ben Franklin Beer,2, 'Wed',1, 'Thu',,
Good King Tavern ,5, 'Mon',3, 'Wed',2, 'Tue'
The Tap Room Sports Bar%%%%%,4, 'Tue',3, 'Mon',,
HARROW BEVERAGE,2, 'Wed',1, 'Tue',,
Lansdale Beer Fest,1, 'Thu',,,,
GOLDEN COAST BEER,9, 'Fri',6, 'Tue',5, 'Sat'
McStew's Irish Pub,3, 'Mon',1, 'Tue',,
PHS POP UP SOUTH STREET,6, 'Fri',5, 'Sat',2, 'Mon'
Canal Street Pub,14, 'Fri',6, 'Thu',4, 'Mon'
Worldwide Beverage,5, 'Fri',3, 'Wed',2, 'Thu'
Fire & Ice,1, 'Mon',,,,
Southgate,2, 'Mon',1, 'Wed',,
Shelton Bros.,1, 'Tue',,,,
Joey B,2, 'Mon',1, 'Tue',,
Beer-A-Rama,2, 'Wed',1, 'Tue',,
Moore Beverage,25, 'Fri',15, 'Mon',7, 'Sat'
Garage,27, 'Fri',9, 'Wed',3, 'Tue'
Tosco,3, 'Wed',1, 'Thu',,
Bloktoberfest Inc.,8, 'Tue',6, 'Thu',3, 'Mon'
Flip & Bailey's,1, 'Mon',,,,
Dan Dan,1, 'Mon',,,,
Tanczos - Northampton,16, 'Tue',15, 'Mon',5, 'Fri'
Goff's Suds & Soda,2, 'Tue',,,,
ACME DOYLESTOWN ,8, 'Fri',7, 'Sat',4, 'Wed'
Trolley Car Diner,2, 'Fri',,,,
Union Jacks - Manatawny,10, 'Thu',3, 'Mon',2, 'Fri'
Beer World,25, 'Fri',12, 'Mon',9, 'Wed'
Jack's Draft House ($%$%),1, 'Tue',,,,
A.Kitchen,2, 'Mon',1, 'Thu',,
Cooperage {ESCROW},5, 'Wed',2, 'Tue',1, 'Thu'
Good Dog,2, 'Mon',1, 'Tue',,
OK BEER MAN BEER DIST,3, 'Fri',2, 'Tue',,
SHANGY'S BEER ,13, 'Tue',5, 'Fri',3, 'Mon'
SERPICO,3, 'Fri',2, 'Wed',1, 'Thu'
Joe's Six-Pack,7, 'Tue',2, 'Mon',,
Bertucci's (Montgomeryville),1, 'Tue',,,,
Beer Store Malvern,5, 'Tue',4, 'Fri',3, 'Sun'
Time Restaurant ,1, 'Wed',,,,
Broad Axe Tavern ($%$%),2, 'Fri',1, 'Mon',,
Liberty Union Bar & Grill,8, 'Fri',2, 'Tue',1, 'Mon'
BRIDGIDS,1, 'Wed',,,,
RIVERCREST GOLF CLUB (%&%&),5, 'Mon',3, 'Sat',1, 'Wed'
GIANT FLOURTOWN ,12, 'Sun',3, 'Mon',1, 'Wed'
Birra,1, 'Tue',,,,
B & B Beverage,30, 'Mon',25, 'Fri',11, 'Tue'
Alla Spinna,2, 'Thu',1, 'Tue',,
Goats Beard,4, 'Wed',3, 'Mon',1, 'Tue'
Arcweb %$%$,1, 'Fri',,,,
Rainbow BruThru,4, 'Tue',1, 'Wed',,
Pickering Creek Inn,9, 'Tue',1, 'Mon',,
La Calaca Feliz,1, 'Fri',,,,
WEIS BETHLEHEM,2, 'Fri',1, 'Thu',,
BLACK POWDER TAVERN,1, 'Mon',,,,
HUNGRY PIGEON,1, 'Wed',,,,
North Shore Beach Club,1, 'Tue',,,,
FOOD & FRIENDS 5TH STREET,4, 'Wed',2, 'Mon',,
ABE'S ALLENTOWN,2, 'Tue',1, 'Fri',,
Epps Beverage Inc.,16, 'Fri',15, 'Mon',12, 'Wed'
Barley Mow,16, 'Tue',12, 'Fri',11, 'Mon'
SHOPRITE BENSALEM ,9, 'Sun',7, 'Mon',4, 'Fri'
Santino's Family Restaurant,7, 'Fri',2, 'Sat',1, 'Wed'
Reading Liederkranz,1, 'Thu',,,,
3RD AND GIRARD,1, 'Thu',,,,
GIANT EXTON ,11, 'Sun',10, 'Mon',5, 'Fri'
West Lawn Beverage,8, 'Mon',3, 'Fri',2, 'Thu'
Penny Pack Beverage,1, 'Fri',,,,
JP MacGrady's,2, 'Tue',,,,
Cook and Shaker,5, 'Sat',4, 'Thu',3, 'Mon'
Cedar Point Bar And Kitchen,1, 'Tue',,,,
GAT BEER,3, 'Fri',1, 'Wed',,
Union Jacks - Glenside,4, 'Wed',2, 'Mon',1, 'Thu'
Beer Outlet,15, 'Fri',12, 'Wed',3, 'Tue'
AMERICAN BAR & GRILL,1, 'Tue',,,,
Triangle Tavern,3, 'Tue',2, 'Mon',1, 'Fri'
Red Tettemer(%%99),7, 'Mon',6, 'Tue',3, 'Thu'
Philly Beer Company,6, 'Wed',4, 'Thu',2, 'Tue'
Luckys Last Chance,3, 'Fri',2, 'Mon',1, 'Tue'
Franks American Pub,6, 'Sun',1, 'Tue',,
Talula's Garden *,1, 'Sat',,,,
Matthew's Beverage,2, 'Mon',1, 'Tue',,
Federal Beer Dist,19, 'Fri',7, 'Mon',6, 'Sat'
Giant Willow Grove,2, 'Fri',1, 'Mon',,
Jet Wine Bar,8, 'Tue',5, 'Wed',4, 'Fri'
Porter's Pub,2, 'Tue',1, 'Mon',,
Tanczos - Bethlehem,35, 'Mon',16, 'Fri',7, 'Tue'
SAM'S BRICK OVEN PIZZA ,5, 'Fri',4, 'Wed',1, 'Tue'
J & J DELI,12, 'Mon',2, 'Tue',1, 'Wed'
AUDUBON ALE HOUSE,3, 'Wed',1, 'Tue',,
Eddington House,2, 'Thu',1, 'Mon',,
Whip Tavern,2, 'Sat',1, 'Wed',,
Bob & Barbaras,5, 'Wed',4, 'Thu',3, 'Fri'
Fox & Hound Pub,2, 'Wed',,,,
KOP Beer (Valley Forge Beverage),22, 'Mon',21, 'Fri',3, 'Tue'
12 Steps Down,24, 'Mon',1, 'Fri',,
National Mechanics ($%$%),1, 'Mon',,,,
La Casa de tu Madre,2, 'Tue',1, 'Wed',,
SHOPRITE FAIRLESS HILLS,10, 'Sun',1, 'Wed',,
Parkway Corner Deli,7, 'Mon',6, 'Tue',4, 'Wed'
COSMOS,5, 'Wed',,,,
Twenty Manning (%%),3, 'Fri',2, 'Mon',1, 'Wed'
Nomad Roman,1, 'Fri',,,,
CHICKIES & PETE'S PACKER AVE (%%),2, 'Tue',,,,
Tria - Fitler Sq,8, 'Mon',2, 'Tue',1, 'Fri'
TOWN FOOD MARKET,2, 'Mon',,,,
Jamison's Beer Distributor,4, 'Wed',1, 'Tue',,
Station Tap Room,10, 'Tue',1, 'Fri',,
Industry ,4, 'Fri',3, 'Mon',1, 'Thu'
ALE HOUSE NEWTOWN SQUARE,1, 'Thu',,,,
Acker Beverage,1, 'Wed',,,,
Beer Guys,12, 'Tue',4, 'Mon',2, 'Wed'
MR BEER,3, 'Fri',2, 'Tue',1, 'Thu'
BRICK AND BARREL,3, 'Thu',2, 'Fri',1, 'Wed'
Union Jack's - Olde Congo,16, 'Wed',7, 'Mon',3, 'Tue'
J & H BEER,7, 'Tue',4, 'Wed',3, 'Fri'
Fresh Grocer Philly (ESCROW),14, 'Mon',4, 'Tue',3, 'Sun'
Skippack Beverage,19, 'Fri',10, 'Mon',5, 'Tue'
Pennsport Beer Boutique,1, 'Tue',,,,
Kildare's Scranton,1, 'Wed',,,,
Original Sin Cider Corp,2, 'Sat',,,,
DUFFERS PUB,4, 'Mon',1, 'Tue',,
The Crow And The Pitcher,2, 'Thu',1, 'Tue',,
BUCKMINSTER'S,1, 'Wed',,,,
Sbraga,5, 'Mon',2, 'Sat',1, 'Wed'
Quaker City Mercantile($%$%),1, 'Thu',,,,
El Barrio,8, 'Tue',4, 'Wed',3, 'Fri'
Stadium Andalusia,1, 'Wed',,,,
Franky Bradleys,2, 'Sat',1, 'Wed',,
Worcester Beverage,2, 'Tue',,,,
CORKED,1, 'Wed',,,,
CORK & CAGE,5, 'Tue',3, 'Mon',1, 'Wed'
BIG TOP BEVERAGE PHILLY,4, 'Mon',2, 'Tue',1, 'Wed'
Newportville Inn,4, 'Wed',1, 'Mon',,
BIKE STOP,1, 'Wed',,,,
BREW COFFEE BAR,7, 'Tue',4, 'Mon',3, 'Fri'
TAPS TAVERN,1, 'Tue',,,,
Barcade,2, 'Wed',1, 'Mon',,
Vintage Wine Bar ($%99),2, 'Tue',,,,
Craft Beer Shoppe Philadelphia,4, 'Fri',2, 'Mon',1, 'Sat'
Coventry Beer Station,2, 'Thu',1, 'Tue',,
Northeast Beverage (Castor Ave),25, 'Fri',22, 'Wed',15, 'Tue'
DUNBAR BOTTLING CO INC,9, 'Tue',3, 'Mon',1, 'Wed'
WEGMANS WILKES BARRE 999999,1, 'Tue',,,,
Applebrook Golf Club,5, 'Thu',2, 'Wed',1, 'Mon'
Buffalo Billiards,1, 'Mon',,,,
Wayne Hotel/Paramour,2, 'Thu',1, 'Fri',,
Olde Indian Valley Inn,1, 'Thu',,,,
Georgetown Deli & Beer (99),12, 'Tue',3, 'Sat',2, 'Fri'
Local 44 BOTTLE SHOP,25, 'Fri',15, 'Sun',10, 'Tue'
PJ WHELIHANS DOWNINGTOWN ,2, 'Tue',,,,
Glenside Pub,4, 'Mon',2, 'Tue',1, 'Wed'
CRAFTY'S ,1, 'Tue',,,,
WEIS NORRISTOWN,12, 'Sun',6, 'Mon',4, 'Fri'
Thirsty's Beer,19, 'Mon',12, 'Fri',5, 'Wed'
SCHIEL BEVERAGE,4, 'Tue',,,,
BRU CRAFT AND WURST,13, 'Fri',8, 'Tue',6, 'Thu'
RED STAR EXTON,15, 'Tue',4, 'Mon',3, 'Fri'
Thrifty Beverage,2, 'Tue',,,,
GOLDEN BEVERAGE,6, 'Wed',2, 'Tue',1, 'Thu'
Volpes Sports Bar,2, 'Tue',1, 'Wed',,
Six Pack Store,1, 'Thu',,,,
Newtown Fire Association,2, 'Tue',1, 'Wed',,
Xilantro,1, 'Tue',,,,
Watkins Drinkery,2, 'Mon',,,,
Latimer Deli,3, 'Thu',2, 'Wed',,
FIUME- NO HAND CARTS,25, 'Fri',8, 'Sat',6, 'Sun'
Kite & Key ,4, 'Thu',3, 'Wed',2, 'Sat'
Two Stones Pub,4, 'Mon',2, 'Tue',1, 'Sat'
Liberty Taproom,15, 'Fri',7, 'Mon',5, 'Thu'
Springfield Bevg. Suburbs,1, 'Wed',,,,
Charlie Was A Sinner(%$%$%),1, 'Tue',,,,
Post & Schell,1, 'Tue',,,,
Sancho Pistolas,1, 'Wed',,,,
LIBERTY PROPERTY TRUST,1, 'Tue',,,,
Austin Beverage,18, 'Fri',11, 'Mon',2, 'Tue'
Penn Thrift Beverage,2, 'Fri',1, 'Tue',,
Craft Ale House,23, 'Mon',2, 'Sat',1, 'Wed'
Rams Head Bar & Grill,12, 'Tue',3, 'Fri',,
NYX,7, 'Tue',,,,
Petruce Et Al.,3, 'Tue',1, 'Wed',,
Brickside Grille,6, 'Tue',1, 'Wed',,
Lucky Dog Saloon,2, 'Wed',,,,
Pourhouse Pottstown,11, 'Mon',4, 'Wed',2, 'Fri'
Joe Burn's Beverage,14, 'Mon',6, 'Tue',4, 'Fri'
The Fitler Dining Room ,2, 'Sat',1, 'Wed',,
Copperhead Grille,2, 'Tue',,,,
Ron's Original Bar & Grille,5, 'Tue',2, 'Wed',1, 'Mon'
Dominick's Side Door Pub,3, 'Wed',2, 'Fri',1, 'Sat'
Brady's Global Bistro,3, 'Thu',1, 'Wed',,
HOLIDAY INN (BREINGSVILLE),2, 'Mon',,,,
BREAKAGE,4, 'Mon',3, 'Fri',2, 'Tue'
Belgian Cafe,1, 'Tue',,,,
Vedge Restaurant (%9%9),4, 'Fri',3, 'Mon',2, 'Sat'
WASCO BEER,3, 'Tue',2, 'Wed',1, 'Thu'
Mojito,3, 'Wed',1, 'Thu',,
Champps (KOP),6, 'Wed',2, 'Tue',1, 'Mon'
Harry's Blue Bell Taproom,12, 'Fri',7, 'Mon',4, 'Tue'
Pizzeria Vetri CALLOWHILL,5, 'Tue',3, 'Wed',1, 'Sun'
SAN BEVERAGE,22, 'Mon',4, 'Wed',3, 'Fri'
Flying Pig Saloon,4, 'Tue',3, 'Thu',2, 'Mon'
COACH'S BEER & SODA,3, 'Mon',1, 'Thu',,
Lou Beverage,8, 'Tue',5, 'Mon',3, 'Fri'
Nomad Pizza,2, 'Wed',1, 'Sun',,
Urban Saloon,5, 'Mon',2, 'Tue',1, 'Sat'
Vintage Bar & Grill,2, 'Mon',1, 'Thu',,
North 3rd,4, 'Fri',3, 'Mon',2, 'Thu'
ACME FLOURTOWN,6, 'Tue',5, 'Fri',4, 'Sun'
Whitpain Beverage,3, 'Mon',,,,
320 Market Cafe Media,7, 'Tue',1, 'Wed',,
Drinkers - Market St.,1, 'Thu',,,,
Animal Rescue Partners,1, 'Wed',,,,
Blue Dog Pub (Lansdale),6, 'Mon',5, 'Wed',2, 'Thu'
Doc's World of Beer,17, 'Fri',7, 'Thu',5, 'Wed'
Tattooed Moms,2, 'Wed',1, 'Fri',,
Mint Gastropub,2, 'Mon',1, 'Wed',,
BOTTLES PACKS & GROWLERS,6, 'Fri',2, 'Tue',1, 'Wed'
Millers Ale House Springfield,1, 'Mon',,,,
BIG TOP BEVERAGE ROSLYN,37, 'Mon',23, 'Fri',11, 'Wed'
320 Market Cafe Swarthmore,44, 'Tue',12, 'Mon',8, 'Fri'
P'unk Ave (%) 99),2, 'Wed',1, 'Thu',,
Olde Bar,5, 'Tue',4, 'Fri',3, 'Sun'
GRAIN EXCHANGE,1, 'Mon',,,,
Pat Deon Beverage,17, 'Fri',9, 'Mon',3, 'Tue'
BIERSTUBE,2, 'Thu',,,,
Starfish Junction Productions (%%%%),4, 'Wed',2, 'Thu',1, 'Tue'
Uno's Warrington,1, 'Tue',,,,
Lo Spiedo,1, 'Sat',,,,
Jose Pistolas,4, 'Fri',2, 'Mon',1, 'Tue'
Irish Rover Station House,4, 'Mon',,,,
STATESIDE (ESCOW),2, 'Thu',1, 'Wed',,
Gunner's Run,1, 'Fri',,,,
V STREET $%$%$,3, 'Tue',2, 'Fri',,
Island Pizza,2, 'Thu',,,,
Richboro Beer and Soda Inc,26, 'Fri',8, 'Mon',7, 'Tue'
Kensington Quarters,2, 'Sat',1, 'Mon',,
TNK,6, 'Mon',2, 'Wed',1, 'Fri'
BLUECADET,1, 'Tue',,,,
Smokey Pints,2, 'Wed',1, 'Sat',,
Harleysville Beverage,8, 'Mon',4, 'Sat',3, 'Fri'
BROAD STREET ALE CAFE,4, 'Mon',2, 'Fri',1, 'Wed'
Pourhouse Exton ,12, 'Tue',7, 'Fri',2, 'Sun'
WHOLE FOODS PLYMOUTH MTG,27, 'Fri',20, 'Sun',6, 'Mon'
Northern Liberties Beer,15, 'Fri',2, 'Wed',1, 'Thu'
Beer Stop Colmar,13, 'Mon',3, 'Tue',1, 'Wed'
Vetri ($%$%$),1, 'Wed',,,,
Fette Sau,1, 'Sun',,,,
Pasquallys Pizza,8, 'Fri',3, 'Wed',2, 'Thu'
Taqueria Feliz,1, 'Tue',,,,
Boom-A-Rang Beverage,2, 'Tue',,,,
Trapp Door,7, 'Tue',2, 'Fri',1, 'Wed'
Coopers Seafood House,8, 'Fri',2, 'Tue',,
Devil's Alley(9999),2, 'Tue',1, 'Wed',,
PERKIOMEN DISTRIBUTORS,2, 'Tue',1, 'Wed',,
Quakertown Beverage,6, 'Fri',3, 'Tue',2, 'Wed'
Smokey Bones,2, 'Wed',1, 'Sun',,
Beer Store Southampton,1, 'Tue',,,,
Kildare's West Chester,8, 'Tue',4, 'Sun',,
Valley Forge Casino,4, 'Mon',3, 'Tue',1, 'Fri'
Barbone Beverage ,2, 'Thu',1, 'Wed',,
Abbaye,1, 'Thu',,,,
Ambler Beverage Exchange,23, 'Mon',9, 'Fri',4, 'Sat'
VESPER,3, 'Tue',2, 'Wed',1, 'Sun'
Beer City - Philadelphia,3, 'Fri',2, 'Wed',1, 'Tue'
White Marsh Beverage,14, 'Mon',6, 'Fri',5, 'Sat'
RYANS HOUSE,1, 'Wed',,,,
Keystone Pub,5, 'Mon',4, 'Tue',1, 'Thu'
Ortino's,1, 'Wed',,,,
Locust Bar,1, 'Wed',,,,
RyBrew,13, 'Thu',11, 'Mon',10, 'Tue'
SUMMIT BEVERAGE,6, 'Tue',,,,
Jerzee's Bar,6, 'Wed',3, 'Mon',2, 'Tue'
North End Beverage,14, 'Fri',8, 'Mon',3, 'Wed'
Tavern on Broad,1, 'Fri',,,,
DO NOT USE!!!,2, 'Sat',1, 'Tue',,
2nd Street Brew House,6, 'Fri',3, 'Thu',1, 'Tue'
Neuf (%%%%),3, 'Tue',1, 'Fri',,
THE BARN ($%$%),1, 'Mon',,,,
BERNIE'S,2, 'Wed',,,,
Fall's Taproom,3, 'Mon',1, 'Tue',,
Moriarty's (9999),7, 'Sat',5, 'Wed',3, 'Fri'
Draught Horse,2, 'Mon',1, 'Tue',,
ROAR,9, 'Tue',3, 'Mon',1, 'Wed'
Varga Bar,4, 'Tue',3, 'Thu',1, 'Wed'
Southampton Beverage Co.,12, 'Fri',10, 'Mon',7, 'Wed'
Irish Pol,2, 'Fri',1, 'Tue',,
Pioneer Distributing Co,5, 'Tue',1, 'Wed',,
Quality Beverage of NEPA,1, 'Mon',,,,
KC PRIME,2, 'Wed',1, 'Tue',,
Ortlieb's,2, 'Wed',1, 'Mon',,
FLEETWOOD BEVERAGES,11, 'Fri',5, 'Thu',3, 'Sat'
Dog and Bull ,8, 'Fri',5, 'Wed',4, 'Mon'
Rubb,1, 'Fri',,,,
Frosty Caps Inc,14, 'Mon',7, 'Tue',4, 'Sat'
WEGMANS WARRINGTON,45, 'Sun',5, 'Fri',4, 'Mon'
Limerick Beverage ,9, 'Mon',5, 'Wed',1, 'Thu'
Newtown Suds,11, 'Fri',8, 'Tue',2, 'Wed'
McCrossen's Tavern,3, 'Wed',2, 'Thu',,
Hawthornes Cafe(9999),37, 'Sun',19, 'Fri',13, 'Mon'
Drafting Room Exton,9, 'Fri',6, 'Tue',4, 'Sun'
JKR Partners ($%$%),1, 'Fri',,,,
SIDE BAR ,18, 'Fri',5, 'Tue',2, 'Wed'
D & R Beverage,1, 'Mon',,,,
VESUVIO- WILKES BARRE,3, 'Tue',1, 'Sat',,
Sample,3, 'Thu',1, 'Wed',,
Dandelion*,2, 'Mon',1, 'Thu',,
Cantina Feliz,1, 'Mon',,,,
APPLEBEES ROXBOROUGH,2, 'Tue',,,,
Beverage Zone,13, 'Wed',2, 'Thu',,
West End Beverage,1, 'Wed',,,,
WHATS BREWIN ALE SHOPPE,7, 'Tue',2, 'Mon',,
Manoa Beverage,2, 'Tue',,,,
Spor's General Store,3, 'Wed',1, 'Tue',,
Frontier Saloon,4, 'Mon',3, 'Tue',2, 'Wed'
Cold Beverage Station,7, 'Mon',3, 'Fri',2, 'Tue'
Baggataway Tavern,5, 'Mon',4, 'Tue',2, 'Wed'
Beer Boys Dych Inc.,1, 'Mon',,,,
Cedar Hollow Inn,5, 'Tue',3, 'Wed',1, 'Thu'
Windsor Distributing,3, 'Wed',2, 'Thu',1, 'Mon'
Rex 1516,4, 'Mon',2, 'Tue',,
Mad Greek's,1, 'Wed',,,,
KeswickTavern,2, 'Thu',,,,
Blue Dog Tavern (Chalfont),7, 'Mon',4, 'Wed',2, 'Thu'
McGlinchey's Bar & Grill,4, 'Thu',3, 'Fri',1, 'Tue'
Prohibition Tap Room,6, 'Fri',5, 'Thu',4, 'Wed'
Con Murphy's,2, 'Tue',1, 'Mon',,
In Riva,1, 'Sat',,,,
Mad Mex University City,3, 'Mon',1, 'Thu',,
Garrett Hill Ale House,3, 'Fri',2, 'Sun',1, 'Wed'
BRICK AND BREW,3, 'Tue',2, 'Wed',1, 'Sun'
WEGMANS EASTON (ESCROW),1, 'Tue',,,,
Prime-stache,1, 'Fri',,,,
Mad Mex Willow Grove ,5, 'Mon',2, 'Tue',,
Xfinity Live,3, 'Tue',1, 'Wed',,
American Sardine Bar,10, 'Fri',6, 'Wed',3, 'Tue'
Kennett Brew Fest,1, 'Tue',,,,
CENTRO,1, 'Wed',,,,
Crown Beverage,2, 'Tue',1, 'Wed',,
Dettera,1, 'Wed',,,,
Chaps Tap Room,5, 'Mon',2, 'Sat',,
